tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
;3º;4600509;ESCUELA 83;S/N;M;MOLLACO;100;N
;;;;;;ANZULON;70;I
;3º;4600520;FRAY M. ESQUIU;CASTRO BARROS S/N;M;OLPAS;70;I
;3º;4600444;ESCUELA 86;LOS AGUIRRE;M;LOS AGUIRRE;100;I
;3º;4600420;ESC.N°087 SERGIO SIMEON ROSA SOSA;LOS ALANICES;M;LOS ALANICES;100;I
;3º;4600533;ANDREA RINCON ZALAZAR;S/N;M;EL MEDANITO;120;I
;3º;4600503;ESCUELA 89;LA CHIMENEA;M;LA CHIMENEA;120;N
;3º;4600401;ESCUELA 90;S/N;M;LOMA LARGA;70;N
;2º;4600501;PCIA. DE CHUBUT;EL PORTEZUELO;M;EL PORTEZUELO;55;N
;3º;4600274;MANUEL DE LA C. PIZARRO;PARAJE CHAÑAR VIEJO;M;CHAÑAR;100;F
;3º;4600426;ESCUELA 93;LOS TELLOS;M;LOS TELLOS;55;I
;3º;4600382;EDUARDO DE LA FUENTE;SAN RAFAEL;M;SAN RAFAEL;100;J
;3º;4600455;JOSE E. TOLEDO VERA;ÑOQUEVE;M;ÑOQUEVES;55;O
;3º;4600386; 17 DE AGOSTO DE 1850;LA JARILLA;M;LA JARILLA;100;O
;3º;4600390;NELLY CABRAL DE AGUILAR;EL TALA;M;EL TALA;100;O
;3º;4600392;ESCUELA 98;EL TOTORAL;M;EL TOTORAL;100;O
;3º;4600389;ANGEL M. GRANILLO;SAN ISIDRO;M;SAN ISIDRO;100;O
;3º;4600425;ESCUELA 100;LA ISLA;M;LA ISLA;100;I
;3º;4600432;ROSENDO ROMERO;LA DORADA;M;LA DORADA;100;I
;3º;4600421;ESCUELA 102;EL FRAILE;M;EL FRAILE;55;I
J.C.;1º;4600145;CORONEL NICOLAS BARROS;AVDA. CORONEL NICOLAS BARROS;M-T;ANILLACO;30;C
;3º;4600474;ESCUELA 104;S/N;M;LOS ALGARROBOS;120;N
;3º;4600408;ANFILOQUIA VALDEZ DE GOMEZ;TUANI;M;TUANI;120;N
;3º;4600247;MARIA LAUTRE  DE SILVANO;CALLE PRINCIPAL S/N;M;GUANCHIN;100;D
;2º;4600242; JUAN DOMINGO PERON;DEL CARMEN Nº 48;M;SAN MIGUEL;30;D
;2º;4600094;ESCUELA 108;ACCESO ESTEBAN MIRIZIO S/N;M;BAÑADOS DE LOS PANTANOS;70;A
;3º;4600229;LUIS CAMILO SCIDA;RUTA NACIONAL Nº 40 ;M;LOS TAMBILLOS;100;H
;3º;4600327;PCIA. DEL CHACO;BAJO JAGUE;M;BAJO JAGUE;120;K
;3º;4600431;ESCUELA 111;LA PLAYA;M;MILAGRO;120;I
;3º;4600350;DELIA DURAN DE GATICA;VILLA NIDIA;M;VILLA NIDIA;100;J
;3º;4600449;ESCUELA 113;REAL DEL CADILLO;M;R. DEL CADILLO;70;O
P.H.;1º;4600471;NICOLAS LANZILLOTTO;HUGO LLANOS - HEREO DE MALVINAS;M-T;CHEPES;;O
;3º;4600394;MARIA TERESITA AZCURRA;LA CALLANA;M;LA CALLANA;100;O
;3º;4600377;HORTENCIA D. DE MERCADO;NUEVA ESPERANZA;M;NUEVA ESPERANZA;120;J
;3º;4600451;WOLF SCHOLNIK;AGUA DE LA PIEDRA;M;AGUA LA PIEDRA;55;O
;3º;4600153;EL RETIRO;ALPASINCHE;M;EL RETIRO;100;R
